正在列出...
alsa-ucm-conf/noble-updates,noble-updates 1.2.10-1ubuntu5.11 all [可升級自：1.2.10-1ubuntu5.9]
apparmor/noble-updates 4.0.1really4.0.1-0ubuntu0.24.04.7 amd64 [可升級自：4.0.1really4.0.1-0ubuntu0.24.04.5]
cloud-init/noble-updates,noble-updates 26.1-0ubuntu1~24.04.1 all [可升級自：25.2-0ubuntu1~24.04.1]
coreutils/noble-updates 9.4-3ubuntu6.2 amd64 [可升級自：9.4-3ubuntu6.1]
file-roller/noble-updates 44.3-0ubuntu2 amd64 [可升級自：44.3-0ubuntu1]
fwupd/noble-updates 2.0.20-1ubuntu2~24.04.1 amd64 [可升級自：1.9.33-0ubuntu1~24.04.1ubuntu1]
gdb/noble-updates 15.1-1ubuntu1~24.04.1 amd64 [可升級自：15.0.50.20240403-0ubuntu1]
gdm3/noble-updates 46.2-1ubuntu1~24.04.9 amd64 [可升級自：46.2-1ubuntu1~24.04.6]
gir1.2-gdm-1.0/noble-updates 46.2-1ubuntu1~24.04.9 amd64 [可升級自：46.2-1ubuntu1~24.04.6]
gir1.2-gtk-4.0/noble-updates 4.14.5+ds-0ubuntu0.10 amd64 [可升級自：4.14.5+ds-0ubuntu0.7]
gir1.2-mutter-14/noble-updates 46.2-1ubuntu0.24.04.15 amd64 [可升級自：46.2-1ubuntu0.24.04.14]
gir1.2-nm-1.0/noble-updates 1.46.0-1ubuntu2.7 amd64 [可升級自：1.46.0-1ubuntu2.5]
gnome-control-center-data/noble-updates,noble-updates 1:46.7-0ubuntu0.24.04.4 all [可升級自：1:46.7-0ubuntu0.24.04.3]
gnome-control-center-faces/noble-updates,noble-updates 1:46.7-0ubuntu0.24.04.4 all [可升級自：1:46.7-0ubuntu0.24.04.3]
gnome-control-center/noble-updates 1:46.7-0ubuntu0.24.04.4 amd64 [可升級自：1:46.7-0ubuntu0.24.04.3]
gnome-keyring-pkcs11/noble-updates 46.1-2ubuntu0.2 amd64 [可升級自：46.1-2build1]
gnome-keyring/noble-updates 46.1-2ubuntu0.2 amd64 [可升級自：46.1-2build1]
gnome-shell-common/noble-updates,noble-updates 46.0-0ubuntu6~24.04.14 all [可升級自：46.0-0ubuntu6~24.04.13]
gnome-shell/noble-updates 46.0-0ubuntu6~24.04.14 amd64 [可升級自：46.0-0ubuntu6~24.04.13]
iproute2/noble-updates 6.1.0-1ubuntu6.3 amd64 [可升級自：6.1.0-1ubuntu6.2]
libapparmor1/noble-updates 4.0.1really4.0.1-0ubuntu0.24.04.7 amd64 [可升級自：4.0.1really4.0.1-0ubuntu0.24.04.5]
libfprint-2-2/noble-updates 1:1.94.7+tod1-0ubuntu5~24.04.6 amd64 [可升級自：1:1.94.7+tod1-0ubuntu5~24.04.4]
libfprint-2-tod1/noble-updates 1:1.94.7+tod1-0ubuntu5~24.04.6 amd64 [可升級自：1:1.94.7+tod1-0ubuntu5~24.04.4]
libfwupd2/noble-updates 1.9.34-0ubuntu1~24.04.1 amd64 [可升級自：1.9.33-0ubuntu1~24.04.1ubuntu1]
